platform,item_id,price,is_self_operated,crawl_date,cleaning_version
JD.com,JD-0138,5049.0,no,2026-05-12,CL-v2.0
JD.com,JD-0139,5068.0,no,2026-05-12,CL-v2.0
JD.com,JD-0140,5098.0,no,2026-05-12,CL-v2.0
JD.com,JD-0141,5098.0,no,2026-05-12,CL-v2.0
JD.com,JD-0142,5099.0,no,2026-05-12,CL-v2.0
JD.com,JD-0143,5168.0,no,2026-05-12,CL-v2.0
JD.com,JD-0144,5168.0,no,2026-05-12,CL-v2.0
JD.com,JD-0145,5168.0,no,2026-05-12,CL-v2.0
JD.com,JD-0146,5169.0,no,2026-05-12,CL-v2.0
JD.com,JD-0147,5169.0,no,2026-05-12,CL-v2.0
JD.com,JD-0148,5189.0,no,2026-05-12,CL-v2.0
JD.com,JD-0149,5199.0,no,2026-05-12,CL-v2.0
JD.com,JD-0150,5199.0,no,2026-05-12,CL-v2.0
JD.com,JD-0151,5219.0,no,2026-05-12,CL-v2.0
JD.com,JD-0152,5229.0,no,2026-05-12,CL-v2.0
JD.com,JD-0153,5259.0,no,2026-05-12,CL-v2.0
JD.com,JD-0154,5308.0,no,2026-05-12,CL-v2.0
JD.com,JD-0155,5318.0,no,2026-05-12,CL-v2.0
JD.com,JD-0156,5318.0,no,2026-05-12,CL-v2.0
JD.com,JD-0157,5319.0,no,2026-05-12,CL-v2.0
JD.com,JD-0158,5349.0,no,2026-05-12,CL-v2.0
JD.com,JD-0159,5378.0,no,2026-05-12,CL-v2.0
JD.com,JD-0160,5459.0,no,2026-05-12,CL-v2.0
JD.com,JD-0161,5549.0,no,2026-05-12,CL-v2.0
JD.com,JD-0162,5598.0,no,2026-05-12,CL-v2.0
JD.com,JD-0163,5599.0,no,2026-05-12,CL-v2.0
JD.com,JD-0164,5620.5,no,2026-05-12,CL-v2.0
JD.com,JD-0165,5629.0,no,2026-05-12,CL-v2.0
JD.com,JD-0166,5639.0,yes,2026-05-12,CL-v2.0
JD.com,JD-0167,5699.0,no,2026-05-12,CL-v2.0
JD.com,JD-0168,5699.0,no,2026-05-12,CL-v2.0
JD.com,JD-0169,5718.0,no,2026-05-12,CL-v2.0
JD.com,JD-0170,5767.0,no,2026-05-12,CL-v2.0
JD.com,JD-0171,5828.0,no,2026-05-12,CL-v2.0
JD.com,JD-0172,5829.0,no,2026-05-12,CL-v2.0
JD.com,JD-0173,5829.0,no,2026-05-12,CL-v2.0
JD.com,JD-0174,5849.0,no,2026-05-12,CL-v2.0
JD.com,JD-0175,5868.0,no,2026-05-12,CL-v2.0
JD.com,JD-0176,5868.0,no,2026-05-12,CL-v2.0
JD.com,JD-0177,5898.0,no,2026-05-12,CL-v2.0
JD.com,JD-0178,5918.0,no,2026-05-12,CL-v2.0
JD.com,JD-0179,5918.0,no,2026-05-12,CL-v2.0
JD.com,JD-0180,5918.0,no,2026-05-12,CL-v2.0
JD.com,JD-0181,5918.0,no,2026-05-12,CL-v2.0
JD.com,JD-0182,5999.0,no,2026-05-12,CL-v2.0
JD.com,JD-0183,6018.0,no,2026-05-12,CL-v2.0
